station_id,RMSE,MAE,Bias,NRMSE
MOHUA TEA  ESTAT,13.326393,6.2530665,1.2345464,1.3998235644026347
MONGPOO,12.785492,6.0227714,0.9629262,1.5473516962778946
MONTESWAR,6.931015,3.2663674,-0.0721498,1.6281776855520047
MOYNA,7.4720807,3.3672538,-0.14206716,1.7040599497775129
MUKUTMONIPUR,5.974715,2.979191,0.3789553,1.603130065667225
MUNSONG,12.900932,6.6112866,-2.7042785,1.0220582203501785
MURARAI,6.2105756,3.130125,0.35339537,1.581415426326409
MURTI,13.633654,5.9052405,0.2757126,1.5064932497037353
NAGARKATA,13.029035,5.558967,-0.40144947,1.3490497047044427
NAKSHIPARA,8.277686,3.5550597,-0.16177903,1.8778178321398984
NALHATI,6.115661,3.0516129,0.30025458,1.5790754205329351
NANDIGRAM,8.549151,3.519096,-0.3030959,1.869015925417849
NARAJOLE,7.011518,3.2832808,0.07260356,1.7064698353349637
NARAYANGARH,7.028558,3.3117461,-0.054085832,1.6535947950136174
NARAYANPUR,6.146654,3.0305262,0.3035251,1.6021532760511952
NEORA,13.6393795,5.9272103,0.2918188,1.5071259465994808
NH31 BRIDGE,12.765647,6.309884,1.3950181,1.4017585173031468
ONDA,6.304749,3.0555165,0.22069106,1.6273541917854886
PACHET%KHARAI,7.1445265,3.2859666,-0.048251558,1.6765631117165316
PALASDANGA,5.9830356,3.0657136,0.12591055,1.5088826651552625
PANGARH AERO,5.824972,3.0676978,0.15457416,1.4791863814751314
PANSKURA,7.5628476,3.354821,-0.0966798,1.7609049366391125
PARA,5.8513556,2.990011,0.5794142,1.6465862878108393
PAREN/JHALUNG,12.927048,5.683326,-1.1363386,1.2139904028004822
PATRASAYAR,6.9509,3.1765578,0.15649949,1.7541305139047927
PEDONG,12.515793,6.1147394,0.2663867,1.313249830057678
PHALUT,12.145713,5.948826,0.31891724,1.1519913193440254
PHULBERIA,6.5208945,3.1780684,0.21402937,1.6657433931058525
PINGLA,7.4391,3.3420727,-0.11365818,1.7252409756312392
POTKABARI,6.498252,3.2875884,0.062381905,1.5783513618044873
